label,sentence
0,"Forces have been targeting upper body parts of Kashmiris deliberately
"
0,"kill or disable them
"
0,"indulging in such activities at the behest of rulers
"
0,"they can go to any extent to please their masters
"
2,"Three-day international ‘Shah-e-Jeelan’ conference would be held from April 27
"
2,"2018 at educational centre of Karvan-e-Islami ‘al-Jamiat al-Qadirya’,
"
2,"besides spiritual leaders of Muslim world, the Ulema of State and outside the State
"
2,"would address the conference and felicitate students who have completed studies in educational institutions of Karwan-e-Islami
"
2,"students of morning/evening Darasgahs and other educational institutions run by Karwan-e-Islami would participate in ‘Naat-o-Qruat’ competition.
"
2,"The conference would start with flag hoisting after Friday prayers on April 27
"
2,"expressed serious reactions over the attacks
"
0,"thrashing of Kashmir students studying in Central University Haryana
"
0,"He said that such incidents also occurred in the past
"
0,"our students affected by such sad incidents
"
0,"leaves their studies and returned to home to save themselves
"
2,"He added that it is the responsibility of all State Governments to ensure the security
"
2,"of property and life of all Kashmiri students and businesspersons
"
2,"He also demanded immediate actions against the culprits.
"
1,"Zafar Akbar Bhat, Chairman J&K Salvation Movement and senior resistance leader
"
2,"Muslim Conference paid tributes to Saima
"
0,"a teenage girl of Shopian who died in a hospital after she sustained injuries during SFs action
"
0,"it is regrettable that International Organisation was keeping silence over the oppressions being committed by Indian Forces in Kashmir.
"
2,"Expressing concern over the death of teenage girl Saima of Shopia
"
0,"Muslim Conference said that guilty of Saima was that she was a Kashmiri girl
"
1,"According to statement of Muslim Conference
"
2,"Recent stand of the Supreme Court on Article 370 is pleasing for the people of State
"
2,"and every section of thought has welcomed it
"
0,"BJP and its allied parties tried their best to revoke this Article.
"
0,"its position in Jammu has been weakening with each passing day.
"
0,"The recent decision of Supreme Court has disappointed them
"
2,"would also be based on facts
"
1,"Kashmir people also hope that Supreme Court’s decision on the petition against Article 35/A
"
1,"hearing for which is scheduled on April 9
"
0,"When this party started efforts behind the curtain for revocation of this Act
"
0,"when people came to know that BJP is behind this all
"
0,"AFSPA is the basic reason for human rights violations
"
2,"Appealing Red Cross
"
2,"Amnesty International and other human rights organizations to take serious steps for the removal of AFSPA from Jammu and Kashmir
"
0,"Meghalya only a month after BJP assumed power there reflects inner condition of Delhi towards Kashmir.
"
0,"in a statement, has said that removal of AFSPA from Arunachal Pradesh and
"
0,"Expressing concern over the deteriorating health
"
0,"continuing imprisonment of Abdul Latif Panazgam
"
0,"he spent 6 years in different jails inside and outside the State
"
0,"his elder brother Raees Ahmad Khan had died
"
0,"his old and ailing parents had been spending a distressful life.
"
0,"They have no support of anyone
"
2,"he should be released on humanitarian grounds
"
0,"After spending a long time in jails
"
0,"Kashmir is being kept lingering with military policy of India
"
0,"its rigidity, stubbornness
"
0,"insensitivity of world nations,
"
0,"Kashmir dispute at the altar of their interests
"
2,"World institutions have been giving step-motherly treatment
"
0,"egard to pellets and bullets being showered by Indian forces on Kashmiri youth,
"
2,"The policy of UN and world powers has always gifted
"
2,"Expressing grief and shock over the death of 10 years Musharaf Fayaz r/o Shopian
"
0,"presence of Security Forces everywhere has become a cause of people’s killing.
"
0,"injured while removing the debris of a residential house gutted down by blast
"
0,"India is using illegal and inhuman tactics to suppress the legal voice of Kashmiris through military might
"
0,"when 23 lives were lost in a single day.
"
0,"difficult for anybody to forget the black Sunday
"
0,"Forces killed 13 militants in three operations at different places,
"
0,"besides killing five civilians
"
0,"injuring more than hundred others
"
0,"a large number of people are with militants
"
0,"who have neither longing for life nor fear of death
"
0,"They have stones in one hand
"
0,"death in the other
"
0,"which was behind inception of militancy
"
0,"Enough blood has been shed in Kashmir
"
0,"if it continues nothing good could be expected in Kashmir.
"
0,"Tourist season can’t be restored
"
0,"developmental projects won’t go ahead
"
0,"not a single breath of peace would be available.
"
0,"along with its own peace, Kashmir would be snatching peace not only in India but in the whole Indo-Pak subcontinent.
"
2,"initiative should be taken at political level
"
2,"contact developed with people to create an atmosphere of confidence.
"
2,"initiative taken to create a feeling among common people that Government is serious for this complex issue
"
2,"intends to resolve it, it won’t take long time to change the atmosphere.
"
2,"State Government also has to do something in practical which creates possibility of better results for the Centre.
"
2,"it is necessary to plan anti-militant operations in a manner so that possibility of confrontation between forces and people is minimized.
"
0,"Passion of militancy can’t be stopped
"
2,"without finding roots of this approach.
"
2,"When no difficulty was faced earlier in holding talks with Pakistan
"
2,"t is also not difficult to create conducive atmosphere for holding talks at internal level
"
2,"provided initiative is taken with sincerity and honesty.
"
0,"expansion of Operation All Out is to invite deaths
"
0,"create negative impact on the purpose for which this operation has been started
"
0,"This time the spirit is intense
"
0,"no proper reasoning could reduce it
"
0,"and the reason for failure of other party is its failure to understand this spirit.
"
2,"Expressing concern over the situation of the Valley
"
0,"NC President said that the Coalition Government had failed on every front and is not serious in providing security to the people.
"
2,"President NC visited there to condoles the family members
"
0,"the Government who could not conduct a single parliamentary election
"
0,"then how it can claim to conduct Panchayat elections
"
0,"fired bullets after giving him serious beating
"
0,"created panic among the people
"
0,"asked the shopkeepers of area to close their shops
"
0,"the family members of SPO do not come up with truth due to fear
"
0,"which shows the poor performance of Administration and security system
"
2,"One foreign militant who was declared as a dangerous militant
"
2,"whose arrest was declared as big victory for security forces
"
2,"was brought to hospital for medical checkups
"
0,"But militants were aware about where he was been taken
"
0,"what was his security measures
"
0,"It shows that militants keep all information
"
0,"How the security of a most wanted militant was so weak
"
0,"it was evident by the fact that militants who were waiting inside the premises of the hospital attacked and snatched the rifle of the police personal
"
0,"fired upon another personnel
"
0,"ran away by taking the foreign militant while he was handcuffed
"
0,"There was no doubt that it was bravery of the militants.
"
0,"weakness of the security system
"
0,"two police personnel lost their lives
"
2,"Both were Muslims and from Kashmir.
"
0,"One of them was lonely son of a family having two little children
"
0,"who become helpless forever
"
2,"Only some people expressed grief
"
0,"over the incident but most people were happy
"
0,"who were declaring the escape of a foreign militant as a big victory for militants and resistance leadership
"
2,"There is no doubt that Kashmiris have deep emotions with resistance leadership
"
0,"how can they go ahead by killing own people.
"
0,"Efforts are not being made to understand this matter
"
0,"Escaping of most wanted foreign militant from the police security
"
0,"is a big defeat for security personnel.
"
0,"It is shameful from every aspect.
"
0,"If such defeats are repeated in the coming days
"
0,"then it would not only encourage the militants
"
0,"also increase their supports and it will become a dreadful situation for Government.
"
0,"There is a big burden on police
"
0,"but neither they have better training nor any modern weapon.
"
2,"f their responsibilities increased then they should be provide with modern weapons
"
2,"facilities so that they can protect themselves
"
2,"Police is the only security forces who are always present with people.
"
0,"But police has no bullet proof vehicles
"
0,"other facilities to protect themselves from attackers
"
2,"In reality only police can control the situation of Kashmir
"
2,"so it is the responsibility of Government to provide necessary facilities for police personnel.
"
0,"But escaping from the police security raised questions
"
1,"Recently an incident occurred in Sadar Hospital Srinagar
"
0,"Violence flared up in Lolab area
"
0,"when security forces attacked students,
"
2,"injured student has been admitted in hospital for treatment
"
1,"when an Army convoy reached the spot of protest
"
1,"the Army personnel came down from vehicles and asked students to vacate the road and allow their vehicles move ahead
"
0,"which infuriated students
"
0,"Army personnel resorted to aerial firing initially which created panic
"
0,"the protesting students alleged that Army personnel gave them beating
"
0,"due to which a students Nasir Sajjad Mir has received injuries.
"
2,"for paying tributes to Mohd Maqbool Bhat and Afzal Guru
"
2,"it was pledged to take the mission of ‘martyrs’ to its logical conclusion.
"
2,"paid tributes to militants and civilians killed recently in South Kashmir and expressed sympathy with injured persons.
"
2,"condemned house detention and arrest of senior resistance leaders, including S.A.S
"
0,"targeting of Kashmiri students outside the State
"
2,"State Government has written to all Central and State Ministers to stop such actions
"
2,"provide security for Kashmiri students.
"
2,"Home Minister assured that actions would be taken against the culprits involved in such incidents
"
2,"Home Minister has already advised all State Chief Ministers to provide security to Kashmiri students
"
2,"take concrete actions against the culprits
"
2,"expressed concern over the targeting of Kashmiri students outside the State
"
1,"One senior officer of Union Home Ministry acknowledged that Chief Minister of Jammu and Kashmir has
"
2,"Welcoming the recent statements of Indo-Pak Army Chiefs
"
2,"Chairman of Democratic Liberation Party, Hashim Qureshi has said that issues are not solved by violence or war
"
0,"instead these ruin nations.
"
0,"Kashmir issue is being suppressed for the last 70 years by force
"
0,"and people have also not given up despite offering numberless sacrifices
"
2,"Appreciating non-violent idea of Indian Army Chief,
"
2,"Qureshi said that he should get AFSPA revoked from Kashmir so that situation becomes favourable;
"
2,"when peace is established doors for talks would automatically open up
"
1,"In this connection
"
2,"he appealed militant organizations to announce ceasefire for implementing the statements of Indo-Pak Army Chiefs on ground
"
0,"Declaring Kashmir dispute as dangerous for the peace of the region
"
0,"has said that living in a war like situation is a sign of destruction for India and Pakistan
"
0,"Professor warned that Kashmir dispute is a dangerous spark,
"
0,"which can destroy the whole region and instead of resolving the issue
"
0,"India and Pakistan are blaming each other
"
1,"Addressing an Ijtemah at Jama Masjid Doorhama Ganderbal
"
1,"Professor Abdul Gani Bhat, Senior Hurriyat leader
"
0,"other Hurriyat members were arrested by Security Forces near Pantha Chowk.
"
0,"kept them in their custody from 1000 hrs to 1500 hrs.
"
2,"They released them after taking back to Srinagar.
"
0,"but were detained by security forces near Pantha Chowk
"
2,"Expressing solidarity with the family members of killed persons
"
0,"five innocent people have died in Shopian incident so far, any condemnation is small.
"
2,"while a large number of tourists have arrived in the Valley in past few days
"
0,"negative propaganda has been launched on news channels about attacks on tourists in the Valley
"
0,"which is beyond reality
"
0,"tourist season in Kashmir is being ruined under a well planned conspiracy
"
0,"several people in State and the country have become active in this regard to divert tourists towards other States
"
0,"Negative propaganda on social media and National news channels has been launched
"
0,"a planned conspiracy to ruin tourist season in Kashmir.
"
0,"A BSF officer was injured in the cross-border shelling by the Pakistan Army
"
0,"Satyapal Singh suffered splinter injuries when a mortar shell exploded near him
"
2,"officer was shifted to the military hospital and his condition was “stable
"
0,"the border skirmishes between the two sides lasted for a very brief period
"
2,"there was no report of fresh ceasefire violation from anywhere along the LoC
"
1,"Pak Army to raise another division to protect CPEC projects & Chinese nationals
"
0,"after the brazen terror attack on a luxury hotel in Balochistan
"
2,"Pakistan Army was fully determined to ensure the security of the project.
"
2,"living example of deep-rooted friendship between Pakistan and China
"
0,"Pakistan faced a very challenging war against terrorism during the last two decades
"
2,"now the security situation was under control
"
2,"the economic prosperity brought about by the CPEC will fail the motives of terrorists
"
2,"with the success of project more employment and business opportunities will be unveiled
"
2,"with more economic opportunities coming in, people’s lifestyle will improve and inimical elements will fail gradually
"
2,"the security situation in Balochistan had improved since the launch of the CPEC
"
2,"now there was a better infrastructure, as many Chinese projects were underway
"
2,"with every coming day security, development and investment situation will get better
"
0,"after terrorists attacked the Pearl Continental luxury hotel
"
0,"killing at least eight persons, including four civilians and a Pakistan Navy soldier
"
0,"The attack was claimed by the Balochistan Liberation Army
"
0,"most-organised terrorist groups of Baloch nationalists fighting against security forces
"
0,"The group was also involved in the terrorist attack at the Chinese consulate in Karachi last year
"
2,"Today’s Gwadar is not what it used to be two years ago and in future it will be on a par with the ports of developed countries
"
1,"Gwadar port is one of the focal points of the CPEC with many Chinese workers from other provinces of Pakistan working at the port
"
1,"China is investing heavily in Balochistan under the CPEC
"
2,"Pakistan was doing its best to create an environment where investors could come and do their business
"
2,"the security situation had greatly improved.
"
0,"Though there are a few sporadic terrorist incidents
"
2,"investors should not be discouraged by them and keep their trust intact in peace
"
2,"Kashmir Economic Alliance Chairman Muhammad Yasin Khan has hailed the J&K Bank for over seven-fold jump in its net profit
"
2,"it was a significant development for the state of Jammu and Kashmir in general and the business community
"
1,"Khan who also heads the Kashmir Traders and Manufacturers Federation (KTMF)
"
2,"He hailed, in particular, the performance of CEO Parvez Ahmed
"
2,"making the bank scale new heights of success
"
2,"the performance of the bank can even improve further if it is kept away from politicization
"
2,"J&K Bank is the collective asset of all the people of Jammu, Kashmir, and Ladakh
"
2,"it has been providing quality services to the people in general and business community
"
2,"we need to safeguard it for the collective economic prosperity
"
2,"the people of the state treat the bank as their collective asset which needs to be separated from politics
"
0,"Five men have been detained after allegedly being found under suspicious circumstances near the Indo-Pak border
"
1,"They are being interrogated by the officials of intelligence agencies
"
1,"Primary investigation revealed that they are local residents
"
1,"one of them works in Gujarat
"
0,"five people were spotted travelling in an SUV near the border by the BSF on Sunday night
"
0,"were detained after Rs 9.88 lakh was recovered from their possession
"
0,"A riot at a prison in Tajikistan has left 32 people dead, including 24 members of the Islamic State group and three guards
"
0,"Five of the inmates and the three guards were killed by IS prisoners during the riot that erupted on Sunday evening
"
1,"External Affairs Minister Sushma Swaraj will attend a two-day meeting of the Shanghai Cooperation Organisation (SCO), beginning Tuesday
"
2,"several pressing issues including thread of terrorism are expected to be discussed
"
1,"The External Affairs Ministry said the Council of Foreign Ministers (CFM) will exchange views on topical issues of international and regional importance
"
1,"besides reviewing the preparation for the SCO Summit in Bishkek from June 13-14
"
1,"External Affairs Minister Sushma Swaraj will be representing India in the meeting of Council of Foreign Ministers (CFM) of Shanghai Cooperation Organisation
"
2,"India became a full member of the the China-dominated grouping in 2017
"
2,"New Delhi’s entry has increased the bloc’s heft in regional geo-politics, besides giving it a pan-Asian hue
"
2,"India is also keen on deepening its security-related cooperation with the SCO and its Regional Anti-Terrorism Structure (RATS)
"
1,"Swaraj’s programme in Bishkek will include a joint call of SCO Foreign Ministers on Kyrgyz President Sooranbay Jeenbekov
"
2,"India actively took part in various SCO dialogue mechanisms under the Chairmanship of the Kyrgyz Republic
"
1,"Defence Minister Nirmala Sitharaman attended the SCO Defence Ministers’ conclave in Bishkek
"
1,"India was an observer at the SCO since 2005
"
1,"generally participated in the ministerial-level meetings of the grouping which focus mainly on security and economic cooperation in the Eurasian region
"
1,"Along with India, Pakistan was also granted SCO membership in 2017
"
1,"SCO was founded at a summit in Shanghai in 2001 by the presidents of Russia, China, Kyrgyz Republic, Kazakhstan, Tajikistan and Uzbekistan
"
2,"Three special rapporteurs of the United Nations Human Rights Council (UNHRC) have written to India asking for details on steps taken to punish or provide justice to victims and their next of kin
"
0,"76 cases of torture and arbitrary killing in Jammu and Kashmir since 1990
"
1,"It was made public on the UNHRC website on May 18 after a scheduled interval of 60 days
"
0,"along with India’s reply that refused to provide any clarifications, The Wire reported
"
0,"The letter relates to 76 cases of torture and killings of civilians, which include 13 just in 2018
"
0,"These 2018 cases included eight civilian killings allegedly by security forces, and the rest by militants
"
0,"In all these cases, the authorities have reportedly failed to conduct thorough, prompt and impartial investigations
"
2,"so as to ensure that the rule of law prevails, and justice is done and steps are taken to ensure the non-recurrence of the violations
"
0,"the letter asks the Indian government to provide details on eight issues, ranging from the outcome of the investigation into the cases to the steps taken to repeal the Armed Forces (Jammu and Kashmir) Special Powers Act
"
0,"The letter also had a line stating that it took “note” of the report of the Office of the United Nations High Commissioner for Human Rights on the human rights situation in Kashmir, released in June 2018
"
0,"India had rejected the report
"
0,"implicitly accused the then UNHRC chief Zeid Ra’ad Al Hussein of having acted on his “individual prejudices
"
1,"India’s response to the letter of the three special rapporteurs focussed on the sentence referring to the UNHRC report
"
0,"India rejects any reference whether implicit or explicit or any quote by any human rights mechanisms or bodies from the remote report published by the OHCHR
"
0,"on the situation of human rights in Kashmir in June 2018
"
0,"India rejects the remote report and doubts on its credibility and objectivity
"
0,"The Report begets the question whether individual prejudices should be allowed to undermine the dignity and standing of the high ofﬁce
"
0,"Asserting that the report was “false and motivated
"
0,"Asserting that terrorism is the “grossest violation
"
0,"India stated that basic human right of “right to life is being constantly violated by cross border terrorism in the Indian state of Jammu and Kashmir
"
0,"The heinous terrorist attack on a convoy in Pulwama in February 2019
"
0,"has only served to underline the criticality of addressing the issue of cross-border terrorism
"
0,"it will not respond to the detailed questions from the special rapporteurs
"
0,"the Indian reply harped on the mention of the Kashmir report as the reason to stop further engagement
"
0,"India takes serious objection to using the already rejected report by the mandate holders
"
0,"that issued the communication AL IND 8/2019 dated 18 March 2019 to raise allegations against India
"
1,"India, therefore, does not intend to engage further with these mandate holders or any other mandate holders on this issue
"
0,"According to the special rapporteurs, the allegations were contrary to the International Covenant on Civil and Political Rights and International Covenant on Economic, Social and Cultural Rights
"
0,"eight cases related to security forces in 2018 “appear to be deliberate killings or excessive and careless use of firearms in the context of either demonstrations or social events
"
0,"There were also three cases last year of individuals being killed by militants, including one case of torture
"
0,"The special rapporteurs said that there was an anomaly in the filing of police complaints through first information reports in these cases
"
0,"It is not clear whether FIRs have been ﬁled or whether magisterial inquiries have been undertaken
"
1,"both of which the Supreme Court has ruled are mandatory for deaths involving the security forces
"
0,"Pellet Victims Welfare Trust (PVWT) on Monday held a protest demonstration in Srinagar demanding ban on the use of pellet guns in Kashmir
"
0,"Where is humanity
"
0,"where is UN
"
0,"where is human rights commission
"
2,"Mohammad Ashraf Wani, one of the pellet victims from Pulwama district said that they are demanding the government to ban the pellet gun in the Kashmir valley
"
2,"so that the next generation will not become the victims of pellets
"
0,"He said that the government’s claim that the gun is a non-lethal weapon is a lie
"
0,"At least 17 deaths have occurred due to the use of pellet guns,” he said
"
0,"How is it a non-lethal weapon.
"
0,"A rocket crashed Sunday night
"
2,"Iraq’s state-run news agency said did not cause any casualties
"
0,"White House ordered warships and bombers to the region
"
2,"to counter an alleged, unexplained threat from Iran
"
0,"heightened tensions across the Persian Gulf
"
0,"heard an explosion
"
0,"alert sirens sounded briefly in Baghdad
"
0,"rocket fell near the statue
"
1,"military is investigating the cause
"
0,"rocket was believed to have been fired from east Baghdad
"
1,"The area is home to Iran-backed Shiite militias
"
0,"Katyusha rocket crashed
"
2,"without causing any casualties
"
0,"As tensions escalate between the US and Iran
"
0,"there have been concerns
"
0,"Baghdad could once again get caught in the middle
"
2,"it is on the path to recovery
"
2,"to help battle the Islamic State group after it seized vast areas in the north and west of the country
"
2,"US-led coalition provided crucial air support
"
2,"Iraqi forces regrouped and drove IS out
"
0,"in a costly three-year campaign
"
2,"Iranian-backed militias fought alongside US-backed Iraqi troops against IS, gaining outsized influence and power.
"
0,"amid an escalating conflict between the US and Iran
"
0,"Iraq is once again vulnerable to becoming caught up in the power play
"
0,"attack targeting US interests in Iraq would be detrimental to the country’s recent efforts
"
0,"Iran is threatening American interests in the Middle East
"
0,"US-Iranian tensions continued to rise
"
0,"State Department ordered all non-essential, non-emergency government staff to leave the country
"
0,"Employees of energy giant ExxonMobil have also begun evacuating from an oil field
"
2,"The country hosts more than 5,000 US troops, and is home to powerful Iranian-backed militias
"
2,"Asserting that overall situation in Jammu and Kashmir is under control
"
2,"Northern Command Army Commander, Lt Gen Ranbir Singh on Monday said that as many as 86 militants have been killed so far in 2019 and that the operations will continue
"
2,"The security situation in Jammu and Kashmir is well under control,” Gen Singh told reporters in Jammu
"
0,"He said that Pakistan has continued with activities, which are mainly anti-India
"
0,"like promoting cross border infiltration, ceasefire violations and circulation of fake Indian currency
"
0,"He added that all their actions are ensuring the proxy war raged against India is in continuation
"
2,"But I assure you that our actions to counter them are in place
"
2,"Pakistan will not be allowed to succeed in its designs
"
2,"He maintained that this year so far, Army has killed 86 militants
"
2,"the anti-militancy operations is continuing in the same manner
"
2,"Many have also surrendered, many came back and joined the mainstream,” he said
"
2,"hoped that the American envoy would make an “unbiased judgement” about the conditions in the Himalayan region especially on religion and the Tibetan culture
"
2,"China, which granted a rare permit for US Ambassador Terry Branstad to visit Tibet
"
1,"Branstad was travelling to China’s Qinhai province and the bordering Tibet Autonomous Region from May 19 to May 25
"
2,"making the first trip by an American envoy to the highly restricted area in four years
"
1,"During his visit, Branstad is due to have meetings with local officials and visit religious and cultural heritage sites
"
2,"His visit is taking place amid escalating trade war between the world’s two largest economies
"
0,"China’s permission to him came after US early this year passed Reciprocal Access to Tibet Act of 2018 warning equal and reciprocal measures
"
0,"if Beijing denied access to American citizens, government officials and journalists to Tibet, the homeland of the exiled Tibetan spiritual leader, the Dalai Lama
"
0,"The new law would impose a visa ban on Chinese officials who deny American citizens, government officials and journalists access to Tibet
"
0,"Currently, foreign tourists need a special travel permit to visit Tibet in addition to a Chinese visa
"
0,"Asked why China, which denied permission for US Ambassador to visit Tibet last year decided to do so now
"
2,"Foreign Ministry spokesman Lu Kang told the media on Monday that “we welcome Ambassador Branstad’s visit
"
2,"so that he can see the major changes which took place in Tibet for past 60 years after the peaceful liberation
"
2,"Commenting on US embassy’s statement that the visit is a chance for the ambassador to engage with local leaders
"
2,"to raise longstanding concerns about restrictions on religious freedom and the preservation of Tibetan culture and language
"
2,"Lu said China hopes the envoy could make unbiased judgement on the prevailing situation in Tibet
"
2,"As for the comments from US embassy, we hope this visit can help them make unbiased judgement that is fact based especially on the religion, culture, heritage and history
"
2,"We hope he can make his own judgement instead of being misguided by rumours
"
2,"We welcome all those who has an objective view of China’s economic and social development, including Tibet to this region
"
0,"His request was denied (last year), I don’t know what you mean by that
"
1,"All the diplomatic personnel in China if they have this need to visit the regions in China, they need to apply to relevant authorities first
"
2,"In March, China issued a white paper defending its polices and highlighting major economic development and improvement of lives of people in the remote Himalayan region
"
0,"since a failed uprising against Beijing’s rule 60 years ago
"
0,"About 150 Tibetans committed self-immolations in different parts of Tibet since 2009
"
2,"calling for the return of 83-year-old Dalai Lama from his exile and improvement of human rights in the Himalayan region
"
0,"following a failed uprising against Chinese rule in Tibet on March 31, 1959
"
1,"The Dalai Lama, the spiritual leader of Tibet, crossed the border into India
"
1,"China says Tibet for centuries has been its territory well before People’s Liberation Army (PLA) took control of it in 1950
"
2,"Pakistan has taken aggressive steps over the last two months in terms of regulatory and monitoring mechanism to meet the FATF requirements
"
2,"its legal system is generally up to the mark
"
0,"except some amendments to the Anti-Money Laundering Act (AMLA) 2010 pending before the National Assembly’s standing committee on finance and revenue
"
1,"Prime Minister Imran Khan was expected to get a briefing on the Guangzhou meeting
"
0,"non-aligned members of the FATF prefer to abstain than siding with Pakistan
"
0,"US-India grouping has greater influence
"
1,"it was expected Minister for Foreign Affairs Shah Mehmood Qureshi would now coordinate with stakeholders on a strategy to reach out to the world capitals in difficult diplomatic environment
"
1,"Pakistan required about 15-16 votes to move out of the grey list and a minimum of three votes to avoid falling into the blacklist
"
1,"FATF currently comprises 36 members with voting powers
"
1,"two regional organisations, representing most of the major financial centres in all parts of the globe
"
0,"FATF plenary had formally placed Pakistan in the grey list in June 2018
"
0,"the country could not secure a minimum of three votes
"
0,"India will ask the FATF to put Pakistan on a blacklist of countries
"
0,"that fail to meet international standards in stopping financial crime
"
1,"China is set to secure FATF presidency next year
"
1,"Saudi Arabia representing the Gulf Cooperation Council is to become a full FATF member
"
2,"Turkey was the only member that stood by Pakistan
"
0,"despite a strong campaign launched by the US, the UK, India and Europe
"
0,"Pakistan’s seriousness to act against proscribed terror outfits and its efforts to curb money laundering and terror financing were questioned by members of a regional affiliate of the FATF
"
0,"despite tough questioning from some participants
"
2,"Pakistani delegation presented a robust case before the APG panel on the country’s progress on the 10-point action plan
"
1,"APG would now submit its findings, based on Pakistan’s report and question-answer session, to the FATF
"
1,"coming FATF Plenary and Working Group meetings in Orlando, Florida, scheduled for June 16-21, would be crucial for Pakistan
"
2,"to get rid of the grey list
"
0,"falling into the black list
"
0,"having serious economic repercussions
"
1,"even though a formal announcement would come out at the next FATF plenary due in Paris on October 18-23
"
2,"Pakistan was now fully compliant with the related United Nations resolutions
"
2,"We believe we have generally delivered on the technical side i,e legal and administrative action, regulations, monitoring, enforcement and inter-agency and stakeholder coordination
"
2,"Finance Minister Arun Jaitley Monday expressed hope that the results of 2019 general election would be in consonance with the outcome of multiple exit polls
"
1,"which has predicted a second term for the Narendra Modi-led NDA government
"
2,"Most exit polls have forecast another term for Prime Minister Modi
"
2,"some of them projecting that BJP-led NDA will get more than 300 seats to comfortably cross the majority mark of 272 in the Lok Sabha
"
0,"Many of us may continue to squabble over correctness and accuracy of the Exit Polls
"
2,"the direction of the result broadly would be in consonance with the message
"
1,"Jaitley said in a blogpost titled ‘The Message of Exit Polls
"
1,"The hard reality is that when multiple Exit Polls convey the same message
"
2,"the opposition’s fake issue of the EVMs would also lose its non-existent rationale
"
1,"Observing that EVMs play no role in exit polls
"
1,"the minister said if the actual results of the general election are in the same direction as exit polls
"
1,"If the Exit Polls are read along with the 2014 election results
"
2,"it would be clear that there is a huge maturing of Indian democracy taking place
"
2,"The electorate keeps national interest paramount before exercising a choice on whom to vote for
"
2,"When well-meaning people with similar ideas vote in the same direction, it leads to the making of a wave
"
0,"Referring to the Congress, Jaitley said that the Gandhi family has become a liability for the grand-old party
"
0,"… in the Congress the first family is no longer an asset but an albatross around neck of the Party
"
0,"Without the family, they don’t get the crowd, with it they don’t get the votes
"
0,"He also said the personalised campaign against Prime Minister Modi did not cut much ice in 2014 and may not cut any ice in 2019
"
2,"Leaders are judged on merit and not on caste or family names
"
2,"the Prime Minister’s style of rising above caste and concentrating on performance related issues received far more acceptability with the electorate,” Jaitley said
"
0,"He said the voters are no longer willing to trust ‘Coalition of Rivals’ as their alliances are untenable
"
2,"The arithmetic of caste coalitions is no longer valid and has yielded place to national interest
"
0,"Fake issues only satisfy the ‘manufacturers of fakery
"
2,"The voters don’t buy them,” Jaitley added
"
1,"The Trump administration will unveil the first phase of its long-awaited blueprint for Mideast peace next month
"
2,"designed to highlight economic benefits that could be reaped if the Israeli-Palestinian conflict is resolved
"
2,"The plan, which has been two years in the making, envisions large-scale investment and infrastructure work in the Palestinian territories
"
0,"the economic workshop, June 25-26 in Bahrain, will not address the most contentious parts of the conflict: borders, the status of Jerusalem, Palestinian refugees and Israel’s security
"
2,"the workshop will give government, civil and business leaders a chance to gather support for economic initiatives
"
2,"U.S. wants to ensure security for Israel and economic opportunity to improve the lives of Palestinians
"
2,"The administration hopes that Arab countries will help bankroll economic incentives, such as infrastructure and industrial projects
"
0,"details of the political aspects of the plan still under wraps, any commitments for economic development won’t be easily attained
"
2,"The Palestinian people, along with all people in the Middle East, deserve a future with dignity and the opportunity to better their lives,
"
2,"Kushner and Jason Greenblatt, envoy of international negotiations, have been leading efforts to write the plan
"
0,"but so far, there’s been no participation from the Palestinians
"
2,"Economic progress can only be achieved with a solid economic vision and if the core political issues are resolved
"
0,"The Palestinian Authority, which has complained that the White House favors Israel
"
0,"severed ties with the Trump administration following several actions targeting them
"
0,"Trump closed the Palestinian diplomatic mission in Washington
"
0,"Palestinians refused to engage in peace talks with Israel
"
0,"U.S. stopped funding the U.N. agency that helps Palestinian refugees, slashing hundreds of millions of dollars in aid for projects in the West Bank and Gaza
"
0,"cutting funding to hospitals in Jerusalem that serve Palestinians
"
2,"Trump also recognized Jerusalem as the capital of Israel
"
0,"it has been disheartening that the Palestinian leadership has attacked the plan before it’s unveiled
"
0,"In an interview last month with The Associated Press, Palestinian Prime Minister Mohammed Shtayyeh likened that to “financial blackmail
"
1,"invitations to the workshop are being sent to individuals in the United States, Europe, the Gulf, the wider Arab world and “some” Palestinian business leaders
"
1,"Trump administration decided to roll out the economic and political parts of the plan separately
"
1,"there will be no discussion about the political aspects of the plan at the upcoming workshop
"
2,"fresh approach that he hopes will stimulate discussion and lead to a breakthrough in solving the decades-old conflict
"
1,"Kushner insisted that the plan he’s helped craft is a very detailed
"
2,"Kushner described it as an “in-depth operational document” not anchored to previous, failed negotiations, high-level political concepts or stale arguments
"
0,"has succumbed to injuries
"
0,"A worker of Peoples Democratic Party (PDP) who was shot at by unidentified gunmen in south Kashmir district of Kulgam
"
0,"Omar said,’ What terrible news, inna lilahi wa inna illahi rajiuun
"
0,"unequivocal condemnation of this murderous attack
"
0,"gunmen entered the house of a 69-year-old PDP worker Mohammad Ismail Bhat at Devsar, Kulgam in south Kashmir
"
0,"before the inmates could do anything gunmen fired upon Bhat who received two bullet injuries
"
0,"Bhat was rushed to local hospital from where he was referred to S K Institute of Medical Sciences (SKIMS) in a critical condition
"
0,"he has succumbed
"
0,"Bhat was the second PDP worker killed by gunmen in south Kashmir
"
0,"a PDP worker was shot dead
"
0,"another injured by gunmen in Shopian
"
